profile,food_name,occurrence_count,source_diet_count,lexical_risk_hits,review_status,decision,ingredient_evidence,reviewer,review_date
vegetariana,"Berinjela, refogada (c/ óleo, cebola e alho), c/ sal",4,4,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Beterraba, cozida, drenada, s/ óleo, c/ sal",18,18,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Beterraba, s/ casca, crua",26,22,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Biscoito, arroz",47,47,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Biscoito, doce, maisena",23,23,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Biscoito, doce, simples (média de diferentes tipos)",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Biscoito, salgado, cream cracker",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Biscoito, salgado, cream cracker , integral",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Brócolis, flor, refogado (c/ óleo, cebola e alho), c/ sal",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Brócolis, flor, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Brócolos, flor, cozido, drenado, s/ óleo, c/ sal",73,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Canelone, c/ muçarela, s/ molho, caseiro",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Canelone, c/ ricota, s/ molho, caseiro, c/ sal",11,11,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Castanha de caju, crua, s/ sal",25,25,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Castanha do Brasil, crua",40,40,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cenoura, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal",7,7,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",26,26,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cenoura, s/ casca, crua",49,41,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cenoura, s/ casca, refogada (c/ óleo, cebola e alho), c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cereais, barra (média de diferentes sabores)",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cereais, granola, caseira",31,31,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cereal matinal, milho",4,4,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Chia, semente, seca",35,35,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Chicória, refogada (c/ óleo, cebola e alho), c/ sal",5,5,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Chuchu, s/ casca, cozido, drenado, s/ óleo, c/ sal",5,5,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Chuchu, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",17,17,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Coco, água",16,16,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Couve, crua",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal",39,38,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Couve-flor, cozida, drenada, s/ óleo, c/ sal",19,19,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,Cream cheese (média de diferentes sabores),35,35,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Cuscuz de milho, cozido, c/ sal",58,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Ervilha, em vagem, fresca, cozida, drenada, s/ óleo, c/ sal",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Ervilha, enlatada, drenada",4,4,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal",26,26,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Espinafre, folha, cozida, drenado, s/ óleo, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Espinafre, folha, cru",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal",33,33,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",63,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",44,44,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo, cebola e alho, c/ sal",27,27,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Geleia, s/ açúcar (média de diferentes sabores)",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Goiaba, inteira, in natura",14,14,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Grão de bico, cozido, dreando, s/ óleo, c/ sal",47,46,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Iogurte, frutas, diet",15,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Iogurte, integral (média de diferentes sabores)",15,15,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Iogurte, natural",56,46,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Iogurte, natural, desnatado",118,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Kiwi, in natura",3,3,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Lasanha, queijos, c/ molho branco, c/ sal, caseira",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Lasanha, vegetais, caseira",17,17,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Leite, vaca, c/ chocolate",3,3,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Leite, vaca, desnatado, fluído (média de diferentes amostras)",112,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Leite, vaca, integral, em pó",3,3,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Leite, vaca, integral, fluído",42,31,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Leite, vaca, semidesnatado, UHT",13,13,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal",63,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Linhaça, semente",26,26,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Macarrão, trigo, c/ ovos, c/ alho e óleo, c/ sal",11,11,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Macarrão, trigo, c/ ovos, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Macarrão, trigo, c/ vegetais, c/ sal",11,11,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Macarrão, trigo, cozido, drenado, s/ óleo, c/ sal",7,7,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",56,47,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Mamão, Papaia, polpa, in natura",53,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Mamão, polpa, in natura",11,11,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal",15,15,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Manga, polpa, in natura",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Manteiga, c/ sal",14,14,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Maçã, c/ casca, in natura",56,47,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Melancia, polpa, in natura",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Melão, polpa, in natura",49,48,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Milho, polenta/fubá, cozido, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Mingau, de amido de milho (maisena)",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Mingau, farinha de cereais, c/ leite integral",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Morango, in natura",13,13,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Mostarda, folha, refogada (c/ óleo, cebola e alho), c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Nhoque (batata, ovo, farinha de trigo), cozido, s/ molho, c/ sal",21,21,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Noz, crua",30,29,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Omelete, c/ ovo de galinha, c/ queijo muçarela, c/ sal",18,18,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Omelete, frios, c/ sal",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Omelete, vegetais, c/ sal",61,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Ovo, galinha, inteiro, cozido, c/ sal",95,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Ovo, galinha, inteiro, frito (c/ óleo de soja), c/ sal",23,23,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Ovo, galinha, mexido, c/ margarina, c/ sal",65,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Palmito, conversa, drenado (média de variedades - Pupunha e Juçara)",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pepino, c/ casca, cru",40,40,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pequi, polpa, maduro, cru",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pera, in natura",50,47,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pinhão, cozido, s/ sal",4,4,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pistache, cru, s/ sal",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pizza, Marguerita, caseira",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pizza, muçarela, caseira",18,18,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pizza, vegetariana, caseira",4,4,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,Pudim de leite,1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pão francês, trigo, branco, de padaria (médias de diferentes amostras)",82,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pão, de queijo, industrializado, assado",16,16,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pão, milho, forma",7,7,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pão, sírio, branco",27,27,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pão, trigo, ciabatta",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pão, trigo, integral, forma (média de diferentes marcas)",74,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pão, trigo, leite, industrializado (média de diferentes marcas)",17,17,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Pêssego, in natura",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, coalho",31,30,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, minas, frescal, light",66,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, minas, padrão (média de diferentes amostras)",18,18,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, muçarela (média de diferentes amostras)",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, muçarela, light",45,44,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, parmesão, ralado",30,29,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, pasteurizado",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, pasteurizado (média de diferentes amostras)",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, prato",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, requeijão (média de diferentes amostras)",22,22,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, requeijão, zero % gordura",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, ricota",29,29,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Queijo, ricota, light",13,13,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Quinoa, grão, cozida, s/ óleo, s/ sal",29,29,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Rabanete, c/ casca, cru",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Repolho, branco, refogado (c/ óleo, cebola e alho), c/ sal",11,11,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Repolho, cru",14,14,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Repolho, roxo, cru",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Risoto de cogumelos, c/ arroz polido, c/ sal",7,7,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Risoto de legumes, c/ arroz polido, c/ sal",15,15,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Rúcula, crua",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada de frutas, c/ açúcar",35,34,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada de legumes, cozidos no vapor",12,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, alface crespa, c/ óleo de soja, c/ sal",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, beterraba cozida, c/ óleo de soja, c/ sal",6,6,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, brócolis, cozido, c/ óleo de soja, c/ sal",6,6,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, couve-flor, cozida, c/ óleo de soja, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, folhas e vegetais, c/ óleo de soja e c/ sal",18,18,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, folhas, c/ óleo de soja, c/ sal",5,5,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, legumes cozidos, c/ óleo de soja, c/ sal",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, palmito, c/ óleo de soja, c/ sal",5,5,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, pepino, c/ óleo de soja, c/ sal",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, repolho, branco, cru, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), c/ sal",11,11,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, tomate, c/ óleo de soja, c/ sal",18,18,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Salada, vegetais crus, s/ óleo, s/ sal",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Semente de abóbora, inteira, torrada, s/ óleo, s/ sal",15,15,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Semente de girassol, torrada, s/ óleo, s/ sal",31,31,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Soja, grão, cozido, drenado, c/ sal",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Soja, proteína, texturizada, hidratada (c/ caldo de legumes), refogada, c/ óleo, cebola e alho, c/ sal",64,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Soja, tofu",37,36,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Sopa, abóbora, cabotian (japonesa), c/ sal",4,4,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Sopa, feijão, preto, c/ macarrão, c/ sal",17,17,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Sopa, legumes, c/ sal",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Suco natural, abacaxi, s/ açúcar",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Suco natural, goiaba, vermelha, s/ açúcar",6,6,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Suco natural, laranja, mamão, pera e maçã, s/ açúcar",5,5,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Suco natural, melancia, c/ açúcar",7,7,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Suco, laranja, s/ açúcar",78,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Suco, laranjada, c/ açúcar",3,3,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Suflê, cenoura, c/ molho branco, c/ sal",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Taioba, folha, cozida, drenada, s/ óleo, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Tangerina, Ponkã, in natura",18,18,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Tapioca, c/ leite condensado e coco",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Tapioca, sem manteiga, sem recheio",60,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Tomate, in natura",66,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Tomate, molho, industrializado",16,15,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Tomate, refogado (c/ óleo de soja, cebola e alho), c/ sal",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Torrada, trigo, integral",13,13,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Torrada, trigo, tradicional",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Uva, in natura",3,3,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Uva, passa, preta",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Vagem, cozida, drenada, s/ óleo, c/ sal (média de diferentes amostras)",3,3,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Vagem, refogada (c/ óleo, cebola e alho), c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Vitamina, leite de vaca integral c/ abacate, c/ açúcar",7,7,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Vitamina, leite de vaca integral c/ banana, c/ açúcar",32,32,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Vitamina, leite de vaca integral c/ morango, c/ açúcar",6,6,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Abacate, polpa, in natura",52,38,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Abacaxi, polpa, in natura",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",40,40,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Abóbora, moranga, refogada (c/ óleo, cebolha e alho), c/ sal",36,36,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Acelga, crua",36,27,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Alface, crua",77,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Alho, refogado c/ óleo de soja, s/ sal",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Almeirão, cru",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Amendoim, grão, cru",40,28,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Amendoim, torrado, c/ sal",36,33,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Amêndoa, torrada, c/ sal",37,34,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Arroz, creme, cozido, s/ tempero",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal",151,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal",39,29,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Aveia, crua (média de diferentes tipos)",66,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Avelã , crua, s/ sal",27,27,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Azeite, oliva",112,23,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Banana, da terra, assada, s/ adição de ingredientes",36,29,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Banana, in natura",74,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Barra de cereal, diet",11,11,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal",19,19,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegana,"Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal",51,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
